Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
Resultados Após Avaliação /Results After Evaluation ;;;;;;;;;;;;;;
Lista ordenada da categoria de Investigador Principal / Ranked list of Principal Researchers;;;;;;;;;;;;;;
Reference/Referência;Nome Candidato/Applicant;Categoria/Contract Level;Painel de Avaliação/Evaluation Panel;Instituição Acolhimento/Host Institution;Classificação Final/Final Score;Classificação Final Consolidada/Consolidated Final Score;Recomendação para financiamento/Recommended for funding?;;;;;;;
CEECIND/01039/2018;Benjamín Costas Refojos;Principal researcher;Agricultural and Veterinary Sciences;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);9,4;8,8;No;;;;;;;
CEECIND/01376/2018;Diogo Pinto da Cruz Sampaio e Castro;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,4;8,8;No;;;;;;;
CEECIND/02159/2018;Gladys Elena Serrano Jerez;Principal researcher;Arts and Other Humanities;Centro Interuniversitário de História das Ciências e daTecnologia (CIUHCT);9,4;8,8;No;;;;;;;
CEECIND/03889/2018;Aristides Miguel da Costa Machado Rodrigues;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação em Antropologia e Saúde (CIAS/FCT/UC);9,3;8,8;No;;;;;;;
CEECIND/02156/2018;Laurent Georges Denis Drouet;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Centro de Investigação em Ambiente e Sustentabilidade (CENSE/FCTUNL/UNL);9,3;8,8;No;;;;;;;
CEECIND/03871/2018;Miguel Tierz Parra;Principal researcher;Mathematics and Computer and Information Sciences;Grupo de Física Matemática (GFM/ULisboa);9,2;8,8;No;;;;;;;
CEECIND/02432/2018;Ayman Radwan;Principal researcher;Electrical, Electronic and Information Engineering;Instituto de Telecomunicações (IT);8,9;8,8;No;;;;;;;
CEECIND/00006/2018;Joana Catarina da Silva Correia;Principal researcher;Medical Engineering;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);8,6;8,8;No;;;;;;;
CEECIND/00112/2018;Lúcia Maria Teixeira Pombo;Principal researcher;Education;Centro de Investigação em Didáctica e Tecnologia na Formação de Formadores (CIDTFF/UA);8,1;8,8;No;;;;;;;
CEECIND/02174/2018;Christin-Melanie Vauclair;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação e Intervenção Social (CIS-IUL/ISCTE-IUL);9,9;8,7;No;;;;;;;
CEECIND/00892/2018;Elsa Clara Carvalho Logarinho Santos;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,3;8,7;No;;;;;;;
CEECIND/03373/2018;Isabel Alexandra Aguiar de Abreu;Principal researcher;Agricultural and Veterinary Sciences;Biorecursos para a Sustentabilidade (GREEN-IT/ITQB NOVA/UNL);9,3;8,7;No;;;;;;;
CEECIND/02510/2018;David James Alexander Edward Harris;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,3;8,7;No;;;;;;;
CEECIND/01967/2018;Angelo Cattaneo;Principal researcher;History and Archaeology;Centro de Humanidades (CHAM/FCSH/UNL);9,0;8,7;No;;;;;;;
CEECIND/00639/2018;Catia Cristina Capelo Ornelas Megiatto;Principal researcher;Chemical Sciences;Centro de Química da Madeira (CQM/UMA);9,6;8,7;No;;;;;;;
CEECIND/02305/2018;Tiago José Quinteiros Lopes Henriques da Silva;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);9,2;8,7;No;;;;;;;
CEECIND/00361/2018;José António Oliveira Martins;Principal researcher;Arts and Other Humanities;Centro de Investigação em Ciências e Tecnologias das Artes (CITAR/CRP/UCP);9,3;8,7;No;;;;;;;
